name,roll,branch,startYear,currentCourses,completedCourses
student746,20816,csam,2021,math;ga,45678:5.511137
student747,22248,csam,2023,dbms,23456:9.119167;34567:7.459181
student748,20413,cse,2023,ga,45678:9.102172;23456:8.058289;12345:5.473385
student749,20284,cse,2023,ml,45678:5.376642;34567:8.326856
student750,22811,csam,2020,dbms;math,12345:5.305160
student751,20450,csss,2020,math;os,34567:9.204700;12345:5.917160
student752,21082,csd,2021,dbms;math;ml,12345:6.744731;45678:8.544916;23456:8.443440
student753,22381,cse,2021,ga;dbms;oopd,45678:6.504869;56789:8.051448
student754,21487,csd,2020,ga,45678:8.876882;34567:6.485230
student755,20883,csss,2021,dbms;math,23456:6.631668
student756,21176,csss,2020,ml;dbms;ga,23456:5.983633
student757,20169,csss,2024,math,56789:5.676848;12345:6.704774
student758,21501,csss,2024,oopd;dbms;ml,23456:8.276267;12345:8.062273
student759,20117,csss,2024,dbms;os,56789:9.122387;12345:6.554653;45678:9.595295
student760,20001,csd,2022,oopd;os;dbms,45678:9.104527
student761,22657,csss,2024,ml;oopd;ga,12345:7.535450;23456:5.423129;56789:7.288978
student762,20739,csd,2020,ga,56789:7.692109;12345:6.845226
student763,21495,csss,2022,math,34567:8.950697;12345:8.831549
student764,20357,csai,2024,dbms;oopd;math,56789:8.140352;12345:7.724754;23456:9.941374
student765,20195,csss,2023,ga;dbms,45678:9.939192
student766,22699,ece,2021,oopd;dbms;math,56789:8.277795;23456:9.423922
student767,21178,csd,2020,os;dbms;ml,56789:5.400939
student768,21395,csam,2020,os,45678:9.160956
student769,20821,ece,2022,dbms,34567:7.674899;56789:6.816384;45678:6.762263
student770,22105,ece,2022,math;ml,34567:7.625882;45678:6.696904
student771,21614,csss,2022,ml,45678:7.056979;56789:9.091980
student772,22789,csd,2023,ga;oopd;os,34567:9.417896;12345:7.202350;23456:9.838289
student773,20328,csai,2020,os,56789:8.165016;45678:6.874336;34567:7.398610
student774,21476,csss,2023,os;oopd,45678:9.451849
student775,21277,csam,2024,dbms,45678:5.216395
student776,22337,csam,2024,ml;oopd;os,45678:7.869410;23456:7.048027;34567:6.337923
student777,22759,ece,2022,math,34567:7.643299
student778,20984,csam,2024,ga;math,12345:5.556527
student779,22535,ece,2024,oopd;ml;math,45678:6.156792;34567:6.795929;56789:8.208044
student780,20698,csd,2020,ml;dbms,45678:7.890384;34567:6.099904
student781,21275,csai,2021,oopd,23456:6.566679;45678:7.570275
student782,21382,csai,2021,oopd;math;ml,56789:5.555516;23456:7.688115
student783,21529,csai,2021,ga;oopd;dbms,12345:9.851667;23456:9.173907
student784,20111,ece,2024,ml;ga;oopd,45678:5.743666;12345:5.368312;23456:8.527447
student785,21313,ece,2020,os,45678:6.662598
student786,20878,csd,2022,math,34567:8.077481;23456:8.963414
student787,20289,csam,2022,ga;oopd,45678:8.399215
student788,21353,csd,2024,math;ga;oopd,45678:7.701717
student789,20932,csam,2020,ml;os,12345:5.755255;34567:9.997620
student790,22850,csam,2020,os,12345:9.737199
student791,21674,csss,2022,dbms;os,56789:9.619386
student792,20423,csd,2021,ml;os;oopd,23456:5.793539
student793,21794,csd,2020,math;ga,34567:5.573580;56789:9.494368
student794,22299,ece,2020,ml;os;oopd,56789:5.895431;34567:7.270074;12345:5.211384
student795,21221,cse,2024,oopd;os;math,23456:9.584342;45678:6.667097
student796,20118,ece,2021,math;ml,34567:9.517653;45678:5.594354;56789:8.810870
student797,22313,csd,2022,os;dbms;oopd,12345:6.398772;56789:6.912261;45678:5.021179
student798,21087,ece,2022,ml;os,12345:6.498458;45678:6.130403
student799,20496,csd,2024,ga,56789:9.528174;34567:9.577088;12345:8.902561
student800,21236,csai,2020,ga;oopd,34567:5.246002;23456:9.614758
student801,20738,csss,2020,ml,23456:5.274288
student802,22741,csam,2023,ml;math,56789:9.052681;12345:6.220086;34567:6.138282
student803,20549,csam,2023,ga;dbms,23456:9.412172
student804,22978,csam,2021,os,23456:9.923066;45678:9.459183
student805,20662,csd,2022,os,12345:8.889306;45678:6.553378;23456:9.219106
student806,21551,csd,2022,math;os,45678:9.861260
student807,21182,csss,2022,dbms;ml,23456:6.412964;56789:8.165395
student808,22002,ece,2023,ml;ga;os,23456:5.475658;12345:7.085564
student809,20310,ece,2020,oopd,45678:6.320561
student810,21024,csd,2024,math;ga;os,34567:6.528015;23456:7.620418
student811,22895,csd,2024,ga;dbms;oopd,45678:9.744473;56789:6.036290;23456:6.717554
student812,21419,csd,2021,ga;ml;oopd,12345:9.602196;56789:9.270087;45678:8.625473
student813,22162,csss,2022,ga,45678:9.465460;23456:8.807876
student814,22246,csam,2021,math;ml,23456:5.569597;56789:9.418147
student815,22915,csam,2023,ml;dbms,12345:6.627410;23456:9.755864;45678:8.868003
student816,20077,cse,2020,oopd;ga;ml,45678:7.682196
student817,22210,csd,2021,dbms;ml,56789:6.888713
student818,20042,cse,2021,ga,23456:7.938394
student819,21751,csd,2024,math;oopd,34567:8.618081
student820,21298,csd,2024,dbms;ga,45678:6.546529;34567:5.647419;56789:6.764689
student821,22593,cse,2023,os;math;ga,12345:7.566124
student822,20274,csam,2022,math;ml,45678:7.704570
student823,22808,ece,2023,os,34567:9.048759;12345:9.827244;56789:6.450437
student824,22635,csam,2022,ml,34567:6.454286;23456:6.769864
student825,22411,csss,2021,ml;oopd;math,12345:5.417858;56789:6.478455;23456:9.237875
student826,21640,csam,2020,oopd;ml;math,34567:6.470254
student827,20512,ece,2024,math,34567:6.202121;45678:6.446155
student828,22509,csam,2021,dbms,56789:9.539894;34567:6.814588
student829,22401,csss,2022,math;oopd;ml,34567:5.707824
student830,20614,ece,2021,ml,34567:7.303558
student831,21025,csam,2024,ga,34567:6.234316;23456:5.315088
student832,22567,ece,2023,os;dbms;math,34567:5.549395
student833,20273,csai,2022,math;ga;dbms,56789:5.576551;34567:8.065408
student834,21612,ece,2024,ml,23456:6.564061
student835,20674,csss,2021,ga;math;ml,12345:7.906903;45678:6.446738;23456:9.582474
student836,22742,csd,2024,dbms;math,23456:7.000635;56789:8.596292
student837,20361,csd,2021,ga;dbms,34567:8.805638;56789:8.167042
student838,22639,csam,2023,dbms;ml,23456:5.442507;45678:5.192430;12345:5.518670
student839,21522,csd,2022,ml,45678:5.605743
student840,20347,csam,2024,ml,34567:6.840836;12345:5.418839
student841,22089,csai,2023,ga,45678:8.502895;12345:8.131502;34567:7.422100
student842,21343,ece,2023,ml,23456:8.502953;34567:9.541954
student843,21365,csss,2023,ga,23456:6.979709;45678:5.002522
student844,20393,ece,2022,ml,56789:6.787708
student845,21394,csai,2021,ml,45678:8.059363;34567:5.848904;12345:8.202841
student846,21860,ece,2022,ga;ml,45678:8.734691;12345:5.940898;23456:7.887936
student847,22098,csd,2021,ga;os,56789:9.901388;12345:8.712271
student848,20548,csam,2022,dbms;ml,34567:8.825724
student849,21341,csai,2022,ml,45678:9.896854;56789:8.531590
student850,22274,csam,2023,os,56789:5.840989
student851,22144,ece,2024,oopd;os,56789:5.738378;23456:6.724427;12345:6.861641
student852,20552,cse,2021,oopd;math,12345:9.266770;45678:8.485356;56789:7.105941
student853,21810,ece,2020,math;os,34567:7.453413
student854,21496,cse,2021,ga;os;oopd,56789:5.557487
student855,20370,ece,2024,dbms;ml,34567:9.363404
student856,22886,csai,2023,math;dbms,12345:7.026106;23456:8.134298;45678:5.631456
student857,22997,cse,2024,math;ga;dbms,45678:6.927612
student858,21563,cse,2020,math,12345:6.712553;23456:6.306089
student859,20147,ece,2020,ga;ml,23456:9.564205
student860,21112,csam,2021,os;ml,12345:8.840114;45678:5.853009;23456:5.072501
student861,20469,cse,2024,dbms;math;ml,23456:6.330386;34567:5.607639
student862,22490,ece,2021,ga;dbms;oopd,45678:8.014623
student863,21621,csss,2022,dbms,23456:7.368827;34567:8.468479;56789:7.844403
student864,20286,csai,2024,math;ml,56789:8.812273
student865,22558,ece,2022,math,45678:7.328649;23456:9.132068;56789:9.844092
student866,20890,csd,2022,dbms;math,56789:7.116882
student867,21570,csd,2023,os,56789:9.962641;12345:9.813443
student868,20190,csai,2022,dbms;ga,56789:9.944391;45678:5.180221
student869,21765,csam,2023,ga;dbms;oopd,23456:7.188348;34567:6.657000;12345:5.103351
student870,22296,csss,2022,ga,45678:8.613304;23456:7.389205
student871,21920,csai,2023,math;dbms;os,45678:8.856074;12345:7.178856
student872,21086,csai,2023,ml;dbms;oopd,56789:7.147765;23456:8.819153
student873,21981,ece,2022,dbms;ml,56789:9.392554;45678:9.158537;12345:5.216498
student874,21982,cse,2024,dbms,34567:9.280846;23456:6.735977
student875,20970,csd,2023,math;os;dbms,34567:6.927051;23456:5.649238
student876,21597,ece,2023,dbms;ga,23456:9.567276;56789:6.399567;34567:8.656501
student877,22124,csam,2023,ml;math,23456:7.739267;45678:6.268287
student878,22093,csai,2020,os;ml,12345:9.845776;56789:7.034998;45678:8.418186
student879,20565,ece,2020,oopd;os;dbms,45678:7.136461;34567:6.460544
student880,22654,cse,2022,dbms;ml,12345:5.470436
student881,20243,ece,2020,dbms;oopd;ml,34567:9.200659
student882,21144,csss,2022,os;ml,34567:8.720931
student883,22320,csai,2021,ga;ml;dbms,23456:9.190458;12345:8.103706
student884,21152,ece,2023,os;dbms;ga,34567:9.721311;12345:6.484998
student885,22183,csai,2020,dbms;ga,34567:5.072720
student886,22263,csd,2020,math,12345:9.892896;34567:9.439290
student887,21194,csd,2024,ml;os,23456:7.776669
student888,22913,csai,2021,os,45678:9.340791;12345:7.273278;34567:8.345422
student889,22134,ece,2021,ga;os;ml,45678:5.535689;34567:9.154555;56789:9.069549
student890,22470,csd,2024,ga;oopd;math,12345:8.254663;34567:6.318425
student891,20701,csai,2023,os;ml,12345:7.241929
student892,22465,csam,2021,os;oopd,34567:7.775483;12345:5.304179
student893,21000,csam,2021,ga,45678:7.011071
student894,22552,csam,2023,ml;oopd;ga,23456:5.273443;12345:7.667863
student895,22816,csam,2024,ml;ga,23456:5.843705
student896,21628,csd,2024,oopd,23456:8.491500;34567:8.486083
student897,20769,csd,2022,os;ga,34567:8.147946;23456:6.371036
student898,22564,cse,2020,os,45678:8.527531;23456:7.407606
student899,21588,cse,2021,dbms,56789:9.316833;45678:7.928476;23456:9.704023
student900,22339,csd,2023,math,23456:9.619409;56789:9.915779
student901,21458,csam,2020,oopd;dbms;math,23456:9.258612;56789:8.680227;34567:6.598879
student902,20592,csai,2020,ga;os;oopd,23456:5.185896;56789:8.670839;12345:7.417139
student903,20517,csd,2023,ga;dbms,34567:9.096109
student904,20086,csam,2023,oopd,56789:8.344760;45678:5.533367
student905,22857,csai,2022,dbms;ga;ml,45678:6.118658;56789:9.542861;12345:6.969162
student906,21834,csd,2020,ml,12345:7.056381;23456:6.937539;45678:8.225355
student907,20130,csss,2023,os,12345:5.706640
student908,20872,csam,2023,oopd;ml,45678:6.861652;34567:8.618162;12345:9.415451
student909,21805,csss,2021,math,12345:6.163442
student910,20649,csd,2024,os,12345:5.434602
student911,20831,csss,2023,ga,45678:9.344397;23456:7.920694;34567:7.305791
student912,20224,csai,2022,dbms;ml,23456:7.783498
student913,21636,csss,2021,oopd,56789:9.534797;45678:7.383001;12345:7.205450
student914,20855,ece,2023,oopd,23456:6.683228;45678:6.367216
student915,20789,csai,2020,dbms;os;ga,56789:5.531227
student916,20268,csai,2022,ga;dbms,23456:9.977187;34567:6.840236
student917,22840,ece,2021,os;dbms;math,45678:8.999538
student918,21520,csss,2024,ga;os;oopd,12345:5.681767;45678:6.306897
student919,21299,csss,2020,os;oopd;math,34567:9.623671
student920,22604,cse,2020,os;oopd;ml,45678:6.968060;12345:6.271165;34567:8.080740
student921,22799,csd,2023,dbms;oopd,12345:5.243559;34567:5.148412;23456:9.098854
student922,21222,csai,2021,os;ga,45678:9.326782;23456:6.851246;56789:8.160106
student923,21718,cse,2023,ml;dbms,34567:8.226171
student924,22900,ece,2022,ga;dbms;math,23456:7.993214;56789:7.808314
student925,21907,cse,2024,dbms,56789:8.004388
student926,22998,ece,2023,ml,56789:6.320205
student927,20465,ece,2023,dbms;oopd,23456:7.244277;34567:8.365644;56789:5.113050
student928,21998,cse,2024,ga,12345:9.558692;56789:9.519779;45678:6.316218
student929,21642,csd,2023,oopd,56789:5.385051;23456:8.373448
student930,22079,csd,2020,os;dbms;math,45678:9.139448;23456:7.236781;12345:7.695553
student931,20799,csai,2022,ga;dbms;oopd,34567:9.229703;56789:8.250605;23456:6.804045
student932,20657,cse,2022,ml;oopd;os,12345:7.507084
student933,20407,csai,2021,os;oopd;dbms,45678:7.189865
student934,21120,csai,2023,ml;ga;oopd,23456:9.517019;12345:7.786821;34567:5.170925
student935,22397,csai,2021,ga;dbms;ml,12345:9.426139;23456:6.138133
student936,22224,ece,2020,dbms;ga,34567:9.396313;12345:5.676242;23456:9.535298
student937,20570,csd,2020,math,34567:7.591483;12345:7.496336
student938,21421,csd,2020,ml;oopd;os,34567:9.136621;23456:6.186196;56789:7.452238
student939,22543,csam,2021,math;ga;ml,56789:5.948098;34567:7.387791;12345:9.674458
student940,21210,csd,2023,ga;math,12345:6.750721;34567:5.264936;45678:5.445912
student941,21482,cse,2020,math;oopd;ml,56789:6.486937
student942,20183,csd,2022,math;dbms,12345:7.769809
student943,21746,csai,2024,os;ml;ga,12345:8.242739;23456:8.326418;45678:7.955641
student944,22443,csd,2023,dbms;math;ml,23456:8.712535;45678:8.392574
student945,20009,csss,2021,oopd;math;ga,56789:9.781446;45678:7.403718
student946,21749,csd,2021,math;oopd;os,12345:9.304498;56789:8.133823
student947,20804,csam,2024,math;os,45678:5.327383;23456:8.266229
student948,21461,cse,2021,dbms;os,34567:8.448646
student949,21156,csss,2024,ga;os,12345:7.168380
student950,21946,csd,2020,ml;dbms;math,12345:7.914204;45678:6.148648
student951,21584,csam,2024,dbms;oopd,12345:9.746886;56789:6.152364;23456:5.366348
student952,20902,csam,2021,math;ga;os,23456:7.842922;12345:9.927116
student953,21443,cse,2024,oopd;os,12345:5.959973
student954,22081,ece,2020,math,45678:6.392450;23456:5.972085;34567:9.492247
student955,20233,csd,2023,os;ga,23456:5.688273;34567:8.471609;12345:8.292408
student956,22270,csai,2021,math;oopd;os,23456:6.891325;34567:7.562451;56789:7.899025
student957,22062,ece,2023,ga,34567:9.855852
student958,20142,csss,2020,ga;ml;math,34567:7.524728;23456:8.645786
student959,22934,csss,2022,math;dbms;oopd,56789:9.810409;23456:8.367486
student960,20192,csai,2022,ga;dbms;math,56789:9.071524;23456:6.616553;34567:5.365762
student961,21646,csss,2024,math;dbms,56789:8.435466;34567:6.219614
student962,22139,csss,2024,ml;dbms;os,12345:8.949190;45678:8.813056;23456:8.645271
student963,20137,csai,2022,os,34567:6.532498
student964,21913,csss,2024,os;math,34567:8.632493;23456:8.903466
student965,21227,csss,2023,ml,45678:7.418334
student966,21450,ece,2024,ml,45678:9.065637;34567:6.370399;12345:8.393050
student967,22207,csss,2023,ga;math;dbms,23456:7.050254
student968,22193,cse,2022,os,56789:7.820121
student969,20483,cse,2021,math;ml;oopd,45678:8.108848;12345:7.931230
student970,20418,csai,2023,oopd;ga;math,12345:8.083412;45678:5.312950;56789:7.676527
student971,21780,csss,2022,math;oopd;ga,23456:8.406515;12345:9.375000;56789:7.572764
student972,22539,ece,2021,math,12345:9.187800
student973,20986,csss,2020,os,12345:8.488126;34567:5.811682;45678:8.528889
student974,22553,csai,2024,ga;math,56789:9.397929;45678:8.173292;23456:7.614682
student975,21124,csai,2023,math;oopd,34567:7.171443;56789:7.034132;23456:5.819018
student976,22290,cse,2021,ml,56789:7.753080;45678:9.847820;34567:6.490946
student977,21902,csd,2024,math;oopd;dbms,23456:5.932911;12345:8.623612
student978,20621,csd,2024,math;ga,34567:9.115005
student979,20067,csss,2023,ga,34567:6.820532;23456:8.503037
student980,22502,csd,2020,ml,12345:5.205560
student981,22788,csss,2024,oopd,56789:9.784678;12345:5.714125
student982,21689,csam,2020,ga;dbms;oopd,45678:9.602783
student983,22540,csam,2022,oopd;math,45678:6.043310;12345:5.444935
student984,21205,csss,2022,oopd,23456:5.839259;12345:6.791487
student985,22054,ece,2020,math;ml,23456:6.285299;45678:6.674743;56789:7.646755
student986,20995,csss,2024,oopd;ml,12345:5.818310
student987,20299,csai,2020,oopd,34567:8.572431
student988,22691,csam,2021,dbms;oopd,23456:8.514206;56789:5.511252
student989,21847,csss,2022,os,34567:9.112798;12345:5.692925;45678:6.165836
student990,22879,csss,2023,os,34567:8.152436;56789:8.700568;23456:5.615571
student991,22049,csai,2021,ml;dbms;oopd,12345:7.780036
student992,21499,ece,2023,os;dbms;oopd,45678:7.023068;34567:5.691915;12345:6.856132
student993,21670,ece,2024,dbms,56789:6.853208;23456:8.586198
student994,21532,ece,2020,oopd;math,12345:6.369014;45678:8.016402;23456:9.242321
student995,21868,ece,2020,math,23456:7.317004;56789:9.297708;45678:9.822280
student996,22132,csss,2023,math,34567:9.526914;56789:5.766495
student997,22284,csai,2024,math;ga,34567:9.002674
student998,20010,cse,2020,ga,34567:7.362215;56789:7.685072
student999,22652,csd,2022,os;oopd;ml,12345:5.443834
student1000,21650,cse,2020,dbms;os,12345:7.947221
student1001,21005,csss,2020,dbms;os;math,45678:8.965534
student1002,21078,csss,2022,ga;dbms,45678:6.908104;34567:8.145974;23456:5.682840
student1003,21575,csss,2020,ml;oopd;ga,56789:7.217070;34567:7.952228;23456:6.117214
student1004,20566,ece,2020,oopd;ga,12345:8.535958
student1005,20601,cse,2024,oopd;ga,56789:8.012267;12345:6.943724;23456:8.703494
student1006,22682,cse,2022,ml;os,23456:9.354975
student1007,20779,csai,2023,ga,23456:9.850797;56789:6.946930
student1008,21505,ece,2020,dbms;ga,23456:8.908440;45678:8.503294;56789:9.655766
student1009,21677,csss,2024,math;ml,56789:5.325003;12345:6.645676
student1010,21432,ece,2022,ml,12345:7.788458
student1011,22258,cse,2023,ml;dbms;ga,23456:8.721527;45678:9.501428
student1012,22521,csai,2022,dbms;ga,12345:8.393617;34567:8.718048;56789:7.015356
student1013,21916,csam,2022,dbms;os,23456:8.246566;34567:8.674594;12345:5.218225
student1014,21555,csss,2021,dbms;os;oopd,45678:7.313166;12345:6.335200
student1015,21153,csss,2024,os;math,23456:7.026914;45678:9.198451;56789:6.683315
student1016,20320,csd,2024,oopd,12345:9.190208;56789:6.957550
student1017,21606,csss,2021,ga;dbms,12345:8.117018;56789:8.074464
student1018,21466,csd,2023,dbms;ml,34567:6.830089;45678:6.668632
student1019,21721,ece,2020,math;ga,23456:5.547457;34567:5.917266;45678:8.969068
student1020,20610,csam,2024,os,12345:7.197827
student1021,21290,csss,2023,os;oopd;ga,45678:9.745704
student1022,21108,csam,2024,dbms;math;ga,12345:7.385645;23456:5.796503
student1023,22636,csss,2021,dbms,45678:7.448269;12345:5.073265
student1024,20365,ece,2022,ml;math;ga,34567:7.577367;56789:6.290667
student1025,22085,csam,2023,math,56789:7.616542;12345:9.232396;45678:5.389497
student1026,22614,csd,2022,math,45678:9.235652;56789:5.034469
student1027,20983,csam,2024,oopd;ga,23456:6.975663;12345:8.671124
student1028,20551,csam,2023,dbms;oopd,34567:8.289188;23456:7.574308;45678:9.948494
student1029,20576,csai,2021,ga,23456:7.987126;45678:6.640836;34567:5.079738
student1030,22203,csai,2021,math;dbms,56789:5.737813;45678:5.643771
student1031,20071,csai,2024,oopd,45678:9.100398;12345:7.651461;34567:8.988590
student1032,20606,csai,2024,ml;dbms;math,45678:9.103299;34567:6.817239
student1033,21536,csam,2022,dbms;ga,45678:8.620157
student1034,20143,csd,2024,ml,12345:9.121111
student1035,20556,ece,2021,math;dbms;ml,34567:8.722732;12345:5.435215;45678:8.674807
student1036,21703,cse,2021,os;ga,34567:9.857373
student1037,20170,csai,2023,ml;math;oopd,45678:5.483260;12345:5.920625;34567:9.225906
student1038,21675,csai,2020,ml;os;oopd,56789:7.750686;12345:6.891758;45678:7.889027
student1039,20907,csai,2024,math;dbms,12345:9.546778
student1040,21134,csam,2022,math;dbms;ga,56789:5.113045;12345:6.923080
student1041,21271,csai,2023,ga,34567:8.315420
student1042,20719,cse,2021,dbms;oopd;ga,23456:6.917651;45678:5.411145;12345:9.515236
student1043,20776,cse,2023,ml;oopd,12345:9.848797;23456:5.755768
student1044,21904,ece,2023,ga;math,45678:6.561837
student1045,21044,ece,2020,dbms;ga,56789:8.517438
student1046,21608,cse,2021,os;math,45678:6.689981;56789:5.655060;34567:7.742896
student1047,21145,cse,2024,dbms,34567:9.523773
student1048,20277,csam,2020,ml;oopd;math,56789:9.721032
student1049,22238,csss,2023,ml,34567:6.217895;23456:9.452444;45678:6.495264
student1050,21433,csd,2021,dbms;oopd,45678:9.659094
student1051,22096,csai,2023,ml,23456:5.370101;12345:5.630842;56789:6.291132
student1052,20238,csss,2021,os;oopd;ga,45678:5.693939;56789:7.865972;34567:6.571351
student1053,22067,csam,2021,ml,45678:7.404258
student1054,21179,cse,2022,os,56789:5.150028;23456:5.963504
student1055,20181,csai,2021,os;dbms;ga,45678:8.137982;12345:6.250964
student1056,21101,csam,2023,os,12345:6.229964;56789:7.933177;23456:8.024123
student1057,22783,csam,2020,dbms;oopd;math,56789:9.344255;23456:5.431102;45678:8.179334
student1058,22329,csss,2021,dbms;ml;math,23456:8.161251;34567:7.961173;45678:7.513641
student1059,21360,csai,2024,ga;ml,56789:8.689315
student1060,20019,csam,2022,os,56789:8.314201;12345:7.374988;34567:6.114769
student1061,20951,csd,2022,os;ga,12345:7.195775
student1062,20301,csam,2020,ml;oopd;os,45678:9.348578;12345:6.652102;34567:5.858682
student1063,22976,cse,2024,ga,34567:5.027593;23456:6.029686
student1064,22243,ece,2024,ml,34567:5.139137;56789:6.825878
student1065,20546,csss,2024,os,45678:7.373246;34567:7.947769
student1066,22869,csss,2020,math,12345:7.240964;34567:6.336254
student1067,20179,cse,2022,ga;os,56789:5.952383;34567:8.352442;12345:6.023772
student1068,21333,cse,2024,dbms,56789:7.908140;12345:5.550302;23456:9.355991
student1069,22776,csam,2021,math,34567:6.189587;23456:6.465505;56789:8.443327
student1070,21255,csd,2020,oopd,34567:7.893791;56789:5.043208
student1071,20852,cse,2020,ga;oopd;dbms,12345:7.372779;56789:9.217223
student1072,21963,csd,2021,os;dbms;oopd,34567:9.313824;23456:5.611413;56789:7.064102
student1073,20783,cse,2023,ml;ga,45678:5.642945;12345:9.642324
student1074,21666,ece,2023,math,45678:6.058212
student1075,20078,cse,2020,math,23456:7.159855
student1076,20353,csai,2021,dbms;math;ga,45678:9.200727
student1077,21035,ece,2023,math,56789:9.511391
student1078,21322,csd,2023,dbms,34567:5.444168;45678:5.165976
student1079,20943,csam,2023,dbms;ml,45678:8.740638;12345:6.336212
student1080,22527,csai,2020,os;ga;math,23456:5.509348;34567:9.709875;56789:5.349957
student1081,22611,csss,2024,oopd;math,34567:6.148054;12345:8.615730;23456:5.826681
student1082,21015,csd,2023,ml;os;oopd,56789:6.927627
student1083,20733,csd,2023,math;ga;ml,45678:7.803776
student1084,22550,cse,2023,os,56789:5.004105;45678:7.270045;34567:7.605378
student1085,20929,csam,2024,ga,23456:7.310784
student1086,21223,csss,2024,oopd;math,56789:8.170134;34567:8.296297;12345:5.649968
student1087,20346,csss,2020,os;oopd;dbms,12345:9.095002;34567:6.495014;56789:9.400404
student1088,21940,cse,2023,math,23456:8.460894
student1089,22484,cse,2024,dbms,45678:5.335287;12345:5.494420
student1090,22867,csai,2020,ga;ml,45678:7.257937;56789:9.414360;12345:5.047433
student1091,21517,csai,2024,math;ml;ga,45678:6.615520;12345:9.325616
student1092,20553,csss,2023,ml;ga;oopd,23456:8.575454
student1093,21229,csai,2024,oopd;ga;math,34567:7.954105;12345:8.383587;23456:5.487976
student1094,20865,cse,2024,dbms,23456:9.009078;56789:6.309901;45678:6.788482
student1095,21039,cse,2023,ga,34567:7.116834
student1096,21722,cse,2021,oopd,12345:7.425750;45678:5.176766
student1097,22086,csss,2020,ga,45678:9.684472;12345:9.734515
student1098,21312,csss,2024,ml;dbms;oopd,56789:5.127332
student1099,22384,cse,2020,ga,45678:7.935831;56789:9.605900
student1100,20941,csss,2020,os;dbms;ml,45678:5.635760;56789:5.659700;23456:5.127490
student1101,20186,cse,2024,ml;math,34567:9.228482
student1102,21554,csd,2021,ga;math;oopd,45678:6.429246;34567:6.002468;56789:9.746594
student1103,21032,ece,2020,oopd;os,23456:8.226321;56789:8.211517;12345:7.071281
student1104,20356,csss,2024,ml;os,45678:8.143820;12345:6.218403;56789:6.493119
student1105,21820,csss,2021,dbms;os;ga,34567:6.004408;56789:7.590063
student1106,20845,csai,2020,os,34567:5.369874;12345:7.881068
student1107,20678,cse,2021,math;oopd;os,56789:6.748762;12345:5.918931
student1108,22016,csam,2020,ga,23456:7.167307;45678:9.073667
student1109,22570,csam,2024,dbms,12345:6.757254;56789:5.676481
student1110,21919,csam,2021,dbms,45678:9.301459;23456:6.325216
student1111,20671,csam,2021,math;os,56789:9.475714
student1112,21238,csss,2022,oopd,23456:9.414616;12345:6.993829;34567:6.010153
student1113,21452,ece,2022,ml;oopd;os,45678:8.806472
student1114,22554,csd,2020,math;ga;oopd,34567:6.393495
student1115,20912,cse,2022,ml,56789:8.314324
student1116,20603,csss,2024,dbms,45678:9.232191
student1117,22435,csss,2020,oopd;os;math,34567:7.222150;45678:8.878458;56789:6.464689
student1118,22685,cse,2023,os,34567:8.485844;12345:5.294964
student1119,22695,csam,2021,ml,12345:5.801094;34567:6.867715
student1120,22868,cse,2024,ga;ml,23456:9.287546;34567:8.737033;12345:8.320854
student1121,22632,csam,2021,dbms;ml,45678:9.288662;34567:5.491220
student1122,22107,csai,2022,math;ga,45678:8.047309;34567:7.172412
student1123,20834,csd,2023,oopd,56789:8.434090
student1124,22483,ece,2020,dbms;ga;math,34567:8.717597;45678:5.947270;56789:8.444960
student1125,22341,csss,2022,ml,45678:9.512609;12345:7.046156
student1126,20742,ece,2021,ga,23456:8.906827;12345:5.945806;45678:7.686449
student1127,22684,csd,2024,ga,12345:6.929558;56789:9.421137
student1128,22760,ece,2022,math,56789:7.425088;12345:8.808211
student1129,20894,ece,2024,ga,23456:7.663834
student1130,22859,csam,2022,ml,45678:6.685440;56789:5.874719;34567:5.655210
student1131,22587,csai,2022,ml;math;ga,45678:7.894076;23456:6.516745;12345:9.925930
student1132,20527,ece,2022,os;oopd,45678:6.142464;23456:5.176740
student1133,22819,csd,2023,os;ml;math,23456:9.280351;45678:6.104471;34567:7.979665
student1134,20061,cse,2020,dbms;os,34567:5.735441
student1135,21363,ece,2020,ga;dbms,34567:9.250438;23456:5.481429
student1136,20562,csam,2024,os;ga,23456:9.228484;12345:5.218347;56789:6.101403
student1137,22599,ece,2023,ml;math,45678:9.392397;34567:7.959071
student1138,22072,ece,2022,math,23456:7.935991
student1139,21041,ece,2021,dbms,56789:9.480510;23456:5.536613;34567:6.960971
student1140,20812,csss,2021,ga;oopd;os,12345:6.642659;23456:5.521697;45678:9.327699
student1141,21245,csam,2020,ml;oopd,45678:5.372013;34567:5.142959;56789:5.738249
student1142,21716,csam,2024,math;ml;ga,56789:6.930745;12345:9.823637;45678:8.536471
student1143,21774,cse,2022,ga;os,23456:8.984707;12345:7.899682
student1144,20323,csam,2024,ga;oopd;ml,23456:5.267624;12345:5.275772;56789:6.178353
student1145,22239,csss,2020,dbms;oopd,34567:8.197651
student1146,21510,csai,2021,math;os;oopd,45678:8.705960
student1147,20351,cse,2023,math;dbms;oopd,45678:8.673871;12345:8.251307
student1148,21697,csai,2024,oopd;dbms,56789:6.406135;45678:6.128109
student1149,22921,cse,2020,oopd,23456:8.073063;34567:5.034960;45678:6.441558
student1150,20579,cse,2020,oopd;dbms;os,56789:5.982636;34567:7.061921
